O00	Ectopic pregnancy
	第四個胎兒胎兒問題的母體照護，妊娠第二期
    O3692x5	Maternal care for fetal problem, unspecified, second trimester, fetus 5
	第五個胎兒胎兒問題的母體照護，妊娠第二期
    O3692x9	Maternal care for fetal problem, unspecified, second trimester, other fetus
	其他胎兒胎兒問題的母體照護，妊娠第二期
  O3693	Maternal care for fetal problem, unspecified, third trimester
	未特定胎兒問題的母體照護，妊娠第三期
    O3693x0	Maternal care for fetal problem, unspecified, third trimester, not applicable or unspecified
	不適用或未特定，胎兒問題的母體照護，妊娠第三期
    O3693x1	Maternal care for fetal problem, unspecified, third trimester, fetus 1
	第一個胎兒胎兒問題的母體照護，妊娠第三期
    O3693x2	Maternal care for fetal problem, unspecified, third trimester, fetus 2
	第二個胎兒胎兒問題的母體照護，妊娠第三期
    O3693x3	Maternal care for fetal problem, unspecified, third trimester, fetus 3
	第三個胎兒胎兒問題的母體照護，妊娠第三期
    O3693x4	Maternal care for fetal problem, unspecified, third trimester, fetus 4
	第四個胎兒胎兒問題的母體照護，妊娠第三期
    O3693x5	Maternal care for fetal problem, unspecified, third trimester, fetus 5
	第五個胎兒胎兒問題的母體照護，妊娠第三期
    O3693x9	Maternal care for fetal problem, unspecified, third trimester, other fetus
	其他胎兒胎兒問題的母體照護，妊娠第三期
O40	Polyhydramnios
	羊水過多
 O401	Polyhydramnios, first trimester
	羊水過多，妊娠第一期
    O401xx0	Polyhydramnios, first trimester, not applicable or unspecified
	不適用或未特定，羊水過多，妊娠第一期
    O401xx1	Polyhydramnios, first trimester, fetus 1
	第一個胎兒羊水過多，妊娠第一期
    O401xx2	Polyhydramnios, first trimester, fetus 2
	第二個胎兒羊水過多，妊娠第一期
    O401xx3	Polyhydramnios, first trimester, fetus 3
	第三個胎兒羊水過多，妊娠第一期
    O401xx4	Polyhydramnios, first trimester, fetus 4
	第四個胎兒羊水過多，妊娠第一期
    O401xx5	Polyhydramnios, first trimester, fetus 5
	第五個胎兒羊水過多，妊娠第一期
    O401xx9	Polyhydramnios, first trimester, other fetus
	其他胎兒羊水過多，妊娠第一期
 O402	Polyhydramnios, second trimester
	羊水過多，妊娠第二期
    O402xx0	Polyhydramnios, second trimester, not applicable or unspecified
	不適用或未特定，羊水過多，妊娠第二期
    O402xx1	Polyhydramnios, second trimester, fetus 1
	第一個胎兒羊水過多，妊娠第二期
    O402xx2	Polyhydramnios, second trimester, fetus 2
	第二個胎兒羊水過多，妊娠第二期
    O402xx3	Polyhydramnios, second trimester, fetus 3
	第三個胎兒羊水過多，妊娠第二期
    O402xx4	Polyhydramnios, second trimester, fetus 4
	第四個胎兒羊水過多，妊娠第二期
    O402xx5	Polyhydramnios, second trimester, fetus 5
	第五個胎兒羊水過多，妊娠第二期
    O402xx9	Polyhydramnios, second trimester, other fetus
	其他胎兒羊水過多，妊娠第二期
 O403	Polyhydramnios, third trimester
	羊水過多，妊娠第三期
    O403xx0	Polyhydramnios, third trimester, not applicable or unspecified
	不適用或未特定，羊水過多，妊娠第三期
    O403xx1	Polyhydramnios, third trimester, fetus 1
	第一個胎兒羊水過多，妊娠第三期
    O403xx2	Polyhydramnios, third trimester, fetus 2
	第二個胎兒羊水過多，妊娠第三期
    O403xx3	Polyhydramnios, third trimester, fetus 3
	第三個胎兒羊水過多，妊娠第三期
    O403xx4	Polyhydramnios, third trimester, fetus 4
	第四個胎兒羊水過多，妊娠第三期
    O403xx5	Polyhydramnios, third trimester, fetus 5
	第五個胎兒羊水過多，妊娠第三期
    O403xx9	Polyhydramnios, third trimester, other fetus
	其他胎兒羊水過多，妊娠第三期
 O409	Polyhydramnios, unspecified trimester
	羊水過多，未特定妊娠期
    O409xx0	Polyhydramnios, unspecified trimester, not applicable or unspecified
	不適用或未特定，羊水過多，未特定妊娠期
    O409xx1	Polyhydramnios, unspecified trimester, fetus 1
	第一個胎兒羊水過多，未特定妊娠期
    O409xx2	Polyhydramnios, unspecified trimester, fetus 2
	第二個胎兒羊水過多，未特定妊娠期
    O409xx3	Polyhydramnios, unspecified trimester, fetus 3
	第三個胎兒羊水過多，未特定妊娠期
    O409xx4	Polyhydramnios, unspecified trimester, fetus 4
	第四個胎兒羊水過多，未特定妊娠期
    O409xx5	Polyhydramnios, unspecified trimester, fetus 5
	第五個胎兒羊水過多，未特定妊娠期
    O409xx9	Polyhydramnios, unspecified trimester, other fetus
	其他胎兒羊水過多，未特定妊娠期
O41	Other disorders of amniotic fluid and membranes
	其他羊水及羊膜疾患
 O410	Oligohydramnios
	羊水過少
  O4100	Oligohydramnios, unspecified trimester
	羊水過少，未特定妊娠期
    O4100x0	Oligohydramnios, unspecified trimester, not applicable or unspecified
	不適用或未特定，羊水過少，未特定妊娠期
    O4100x1	Oligohydramnios, unspecified trimester, fetus 1
	第一個胎兒羊水過少，未特定妊娠期
    O4100x2	Oligohydramnios, unspecified trimester, fetus 2
	第二個胎兒羊水過少，未特定妊娠期
    O4100x3	Oligohydramnios, unspecified trimester, fetus 3
	第三個胎兒羊水過少，未特定妊娠期
    O4100x4	Oligohydramnios, unspecified trimester, fetus 4
	第四個胎兒羊水過少，未特定妊娠期
    O4100x5	Oligohydramnios, unspecified trimester, fetus 5
	第五個胎兒羊水過少，未特定妊娠期
    O4100x9	Oligohydramnios, unspecified trimester, other fetus
	其他胎兒羊水過少，未特定妊娠期
  O4101	Oligohydramnios, first trimester
	羊水過少，妊娠第一期
    O4101x0	Oligohydramnios, first trimester, not applicable or unspecified
	不適用或未特定，羊水過少，妊娠第一期
    O4101x1	Oligohydramnios, first trimester, fetus 1
	第一個胎兒羊水過少，妊娠第一期
    O4101x2	Oligohydramnios, first trimester, fetus 2
	第二個胎兒羊水過少，妊娠第一期
    O4101x3	Oligohydramnios, first trimester, fetus 3
	第三個胎兒羊水過少，妊娠第一期
    O4101x4	Oligohydramnios, first trimester, fetus 4
	第四個胎兒羊水過少，妊娠第一期
    O4101x5	Oligohydramnios, first trimester, fetus 5
	第五個胎兒羊水過少，妊娠第一期
    O4101x9	Oligohydramnios, first trimester, other fetus
	其他胎兒羊水過少，妊娠第一期
  O4102	Oligohydramnios, second trimester
	羊水過少，妊娠第二期
    O4102x0	Oligohydramnios, second trimester, not applicable or unspecified
	不適用或未特定，羊水過少，妊娠第二期
    O4102x1	Oligohydramnios, second trimester, fetus 1
	第一個胎兒羊水過少，妊娠第二期
    O4102x2	Oligohydramnios, second trimester, fetus 2
	第二個胎兒羊水過少，妊娠第二期
    O4102x3	Oligohydramnios, second trimester, fetus 3
	第三個胎兒羊水過少，妊娠第二期
    O4102x4	Oligohydramnios, second trimester, fetus 4
	第四個胎兒羊水過少，妊娠第二期
    O4102x5	Oligohydramnios, second trimester, fetus 5
	第五個胎兒羊水過少，妊娠第二期
    O4102x9	Oligohydramnios, second trimester, other fetus
	其他胎兒羊水過少，妊娠第二期
  O4103	Oligohydramnios, third trimester
	羊水過少，妊娠第三期
    O4103x0	Oligohydramnios, third trimester, not applicable or unspecified
	不適用或未特定，羊水過少，妊娠第三期
    O4103x1	Oligohydramnios, third trimester, fetus 1
	第一個胎兒羊水過少，妊娠第三期
    O4103x2	Oligohydramnios, third trimester, fetus 2
	第二個胎兒羊水過少，妊娠第三期
    O4103x3	Oligohydramnios, third trimester, fetus 3
	第三個胎兒羊水過少，妊娠第三期
    O4103x4	Oligohydramnios, third trimester, fetus 4
	第四個胎兒羊水過少，妊娠第三期
    O4103x5	Oligohydramnios, third trimester, fetus 5
	第五個胎兒羊水過少，妊娠第三期
    O4103x9	Oligohydramnios, third trimester, other fetus
	其他胎兒羊水過少，妊娠第三期
 O411	Infection of amniotic sac and membranes
	羊膜囊及胎膜感染
  O4110	Infection of amniotic sac and membranes, unspecified
	未特定的羊膜囊及胎膜感染
   O41101	Infection of amniotic sac and membranes, unspecified, first trimester
	未特定的羊膜囊及胎膜感染，妊娠第一期
    O411010	Infection of amniotic sac and membranes, unspecified, first trimester, not applicable or unspecified
	不適用或未特定，羊膜囊及胎膜感染，妊娠第一期
    O411011	Infection of amniotic sac and membranes, unspecified, first trimester, fetus 1
	第一個胎兒羊膜囊及胎膜感染，妊娠第一期
    O411012	Infection of amniotic sac and membranes, unspecified, first trimester, fetus 2
	第二個胎兒羊膜囊及胎膜感染，妊娠第一期
    O411013	Infection of amniotic sac and membranes, unspecified, first trimester, fetus 3
	第三個胎兒羊膜囊及胎膜感染，妊娠第一期
    O411014	Infection of amniotic sac and membranes, unspecified, first trimester, fetus 4
	第四個胎兒羊膜囊及胎膜感染，妊娠第一期
    O411015	Infection of amniotic sac and membranes, unspecified, first trimester, fetus 5
	第五個胎兒羊膜囊及胎膜感染，妊娠第一期
    O411019	Infection of amniotic sac and membranes, unspecified, first trimester, other fetus
	其他胎兒羊膜囊及胎膜感染，妊娠第一期
   O41102	Infection of amniotic sac and membranes, unspecified, second trimester
	未特定的羊膜囊及胎膜感染，妊娠第二期
    O411020	Infection of amniotic sac and membranes, unspecified, second trimester, not applicable or unspecified
	不適用或未特定，羊膜囊及胎膜感染，妊娠第二期
    O411021	Infection of amniotic sac and membranes, unspecified, second trimester, fetus 1
	第一個胎兒羊膜囊及胎膜感染，妊娠第二期
    O411022	Infection of amniotic sac and membranes, unspecified, second trimester, fetus 2
	第二個胎兒羊膜囊及胎膜感染，妊娠第二期
    O411023	Infection of amniotic sac and membranes, unspecified, second trimester, fetus 3
	第三個胎兒羊膜囊及胎膜感染，妊娠第二期
    O411024	Infection of amniotic sac and membranes, unspecified, second trimester, fetus 4
	第四個胎兒羊膜囊及胎膜感染，妊娠第二期
    O411025	Infection of amniotic sac and membranes, unspecified, second trimester, fetus 5
	第五個胎兒羊膜囊及胎膜感染，妊娠第二期
    O411029	Infection of amniotic sac and membranes, unspecified, second trimester, other fetus
	其他胎兒羊膜囊及胎膜感染，妊娠第二期
   O41103	Infection of amniotic sac and membranes, unspecified, third trimester
	未特定的羊膜囊及胎膜感染，妊娠第三期
