S00	Superficial injury of head
	未特定側性肱骨幹區段移位性骨折未癒合之後續照護
    S42363P	Displaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定側性肱骨幹區段移位性骨折癒合不良之後續照護
    S42363S	Displaced segmental fracture of shaft of humerus, unspecified arm, sequela
	未特定側性肱骨幹區段移位性骨折之後遺症
   S42364	Nondisplaced segmental fracture of shaft of humerus, right arm B
	右手肱骨幹區段非移位性閉鎖性骨折
    S42364A	Nondisplaced segmental fracture of shaft of humerus, right arm, initial encounter for closed fracture
	右手肱骨幹區段非移位性閉鎖性骨折之初期照護
    S42364B	Nondisplaced segmental fracture of shaft of humerus, right arm, initial encounter for open fracture
	右手肱骨幹區段非移位性開放性骨折之初期照護
    S42364D	Nondisplaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with routine healing
	右手肱骨幹區段非移位性骨折癒合之後續照護
    S42364G	Nondisplaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing
	右手肱骨幹區段非移位性骨折延遲癒合之後續照護
    S42364K	Nondisplaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with nonunion
	右手肱骨幹區段非移位性骨折未癒合之後續照護
    S42364P	Nondisplaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with malunion
	右手肱骨幹區段非移位性骨折癒合不良之後續照護
    S42364S	Nondisplaced segmental fracture of shaft of humerus, right arm, sequela
	右手肱骨幹區段非移位性骨折之後遺症
   S42365	Nondisplaced segmental fracture of shaft of humerus, left arm B
	左手肱骨幹區段非移位性閉鎖性骨折
    S42365A	Nondisplaced segmental fracture of shaft of humerus, left arm, initial encounter for closed fracture
	左手肱骨幹區段非移位性閉鎖性骨折之初期照護
    S42365B	Nondisplaced segmental fracture of shaft of humerus, left arm, initial encounter for open fracture
	左手肱骨幹區段非移位性開放性骨折之初期照護
    S42365D	Nondisplaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with routine healing
	左手肱骨幹區段非移位性骨折癒合之後續照護
    S42365G	Nondisplaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing
	左手肱骨幹區段非移位性骨折延遲癒合之後續照護
    S42365K	Nondisplaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with nonunion
	左手肱骨幹區段非移位性骨折未癒合之後續照護
    S42365P	Nondisplaced segmental fracture of shaft of humerus, left arm, subsequent encounter for fracture with malunion
	左手肱骨幹區段非移位性骨折癒合不良之後續照護
    S42365S	Nondisplaced segmental fracture of shaft of humerus, left arm, sequela
	左手肱骨幹區段非移位性骨折之後遺症
   S42366	Nondisplaced segmental fracture of shaft of humerus, unspecified arm B
	未特定側性肱骨幹區段非移位性閉鎖性骨折
    S42366A	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, initial encounter for closed fracture
	未特定側性肱骨幹區段非移位性閉鎖性骨折之初期照護
    S42366B	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, initial encounter for open fracture
	未特定側性肱骨幹區段非移位性開放性骨折之初期照護
    S42366D	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with routine healing
	未特定手臂肱骨骨幹段非移位性骨折癒合之後續照護
    S42366G	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with delayed healing
	未特定手臂肱骨骨幹段非移位性骨折延遲癒合之後續照護
    S42366K	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with nonunion
	未特定手臂肱骨骨幹段非移位性骨折未癒合之後續照護
    S42366P	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, subsequent encounter for fracture with malunion
	未特定手臂肱骨骨幹段非移位性骨折併癒合不良之後續照護
    S42366S	Nondisplaced segmental fracture of shaft of humerus, unspecified arm, sequela
	未特定手臂肱骨骨幹段非移位性骨折之後遺症
  S4239	Other fracture of shaft of humerus
	肱骨骨幹其他骨折
   S42391	Other fracture of shaft of right humerus A, K, P, B
	右側肱骨骨幹其他骨折 A, K, P, B
    S42391A	Other fracture of shaft of right humerus, initial encounter for closed fracture
	右側肱骨骨幹的其他閉鎖性骨折之初期照護
    S42391B	Other fracture of shaft of right humerus, initial encounter for open fracture
	右側肱骨骨幹的其他開放性骨折之初期照護
    S42391D	Other fracture of shaft of right humerus, subsequent encounter for fracture with routine healing
	右側肱骨骨幹的其他骨折癒合之後續照護
    S42391G	Other fracture of shaft of right humerus, subsequent encounter for fracture with delayed healing
	右側肱骨骨幹的其他骨折延遲癒合之後續照護
    S42391K	Other fracture of shaft of right humerus, subsequent encounter for fracture with nonunion
	右側肱骨骨幹的其他骨折未癒合之後續照護
    S42391P	Other fracture of shaft of right humerus, subsequent encounter for fracture with malunion
	右側肱骨骨幹的其他骨折癒合不良之後續照護
    S42391S	Other fracture of shaft of right humerus, sequela
	右側肱骨骨幹的其他骨折之後遺症
   S42392	Other fracture of shaft of left humerus B
	左側肱骨骨幹其他骨折 B
    S42392A	Other fracture of shaft of left humerus, initial encounter for closed fracture
	左側肱骨骨幹的其他閉鎖性骨折之初期照護
    S42392B	Other fracture of shaft of left humerus, initial encounter for open fracture
	左側肱骨骨幹的其他開放性骨折之初期照護
    S42392D	Other fracture of shaft of left humerus, subsequent encounter for fracture with routine healing
	左側肱骨骨幹的其他骨折癒合之後續照護
    S42392G	Other fracture of shaft of left humerus, subsequent encounter for fracture with delayed healing
	左側肱骨骨幹的其他骨折延遲癒合之後續照護
    S42392K	Other fracture of shaft of left humerus, subsequent encounter for fracture with nonunion
	左側肱骨骨幹的其他骨折未癒合之後續照護
    S42392P	Other fracture of shaft of left humerus, subsequent encounter for fracture with malunion
	左側肱骨骨幹的其他骨折未癒合之後續照護
    S42392S	Other fracture of shaft of left humerus, sequela
	左側肱骨骨幹的其他骨折之後遺症
   S42399	Other fracture of shaft of unspecified humerus B
	未特定肱骨骨幹其他骨折 B
    S42399A	Other fracture of shaft of unspecified humerus, initial encounter for closed fracture
	未特定肱骨骨幹的其他閉鎖性骨折之初期照護
    S42399B	Other fracture of shaft of unspecified humerus, initial encounter for open fracture
	未特定肱骨骨幹的其他開放性骨折之初期照護
    S42399D	Other fracture of shaft of unspecified humerus, subsequent encounter for fracture with routine healing
	未特定肱骨骨幹的其他骨折癒合之後續照護
    S42399G	Other fracture of shaft of unspecified humerus, subsequent encounter for fracture with delayed healing
	未特定肱骨骨幹的其他骨折延遲癒合之後續照護
    S42399K	Other fracture of shaft of unspecified humerus, subsequent encounter for fracture with nonunion
	未特定肱骨骨幹的其他骨折未癒合之後續照護
    S42399P	Other fracture of shaft of unspecified humerus, subsequent encounter for fracture with malunion
	未特定肱骨骨幹的其他骨折癒合不良之後續照護
    S42399S	Other fracture of shaft of unspecified humerus, sequela
	未特定肱骨骨幹的其他骨折之後遺症
 S424	Fracture of lower end of humerus
	肱骨下端骨折
  S4240	Unspecified fracture of lower end of humerus
	肱骨下端未特定骨折
   S42401	Unspecified fracture of lower end of right humerus A, K, P, B
	右側肱骨下端未特定骨折 A, K, P, B
    S42401A	Unspecified fracture of lower end of right humerus, initial encounter for closed fracture
	右側肱骨下端未特定閉鎖性骨折之初期照護
    S42401B	Unspecified fracture of lower end of right humerus, initial encounter for open fracture
	右側肱骨下端未特定開放性骨折之初期照護
    S42401D	Unspecified fracture of lower end of right humerus, subsequent encounter for fracture with routine healing
	右側肱骨下端未特定骨折癒合之後續照護
    S42401G	Unspecified fracture of lower end of right humerus, subsequent encounter for fracture with delayed healing
	右側肱骨下端未特定骨折延遲癒合之後續照護
    S42401K	Unspecified fracture of lower end of right humerus, subsequent encounter for fracture with nonunion
	右側肱骨下端未特定骨折未癒合之後續照護
    S42401P	Unspecified fracture of lower end of right humerus, subsequent encounter for fracture with malunion
	右側肱骨下端未特定骨折癒合不良之後續照護
    S42401S	Unspecified fracture of lower end of right humerus, sequela
	右側肱骨下端未特定骨折之後遺症
   S42402	Unspecified fracture of lower end of left humerus A, K, P, B
	左側肱骨下端未特定骨折 A, K, P, B
    S42402A	Unspecified fracture of lower end of left humerus, initial encounter for closed fracture
	左側肱骨下端未特定閉鎖性骨折之初期照護
    S42402B	Unspecified fracture of lower end of left humerus, initial encounter for open fracture
	左側肱骨下端未特定開放性骨折之初期照護
    S42402D	Unspecified fracture of lower end of left humerus, subsequent encounter for fracture with routine healing
	左側肱骨下端未特定骨折癒合之後續照護
    S42402G	Unspecified fracture of lower end of left humerus, subsequent encounter for fracture with delayed healing
	左側肱骨下端未特定骨折延遲癒合之後續照護
    S42402K	Unspecified fracture of lower end of left humerus, subsequent encounter for fracture with nonunion
	左側肱骨下端未特定骨折未癒合之後續照護
    S42402P	Unspecified fracture of lower end of left humerus, subsequent encounter for fracture with malunion
	左側肱骨下端未特定骨折癒合不良之後續照護
    S42402S	Unspecified fracture of lower end of left humerus, sequela
	左側肱骨下端未特定骨折之後遺症
   S42409	Unspecified fracture of lower end of unspecified humerus A, K, P, B
	未特定肱骨下端未特定骨折 A, K, P, B
    S42409A	Unspecified fracture of lower end of unspecified humerus, initial encounter for closed fracture
	未特定肱骨下端未特定閉鎖性骨折之初期照護
    S42409B	Unspecified fracture of lower end of unspecified humerus, initial encounter for open fracture
	未特定肱骨下端未特定開放性骨折之初期照護
    S42409D	Unspecified fracture of lower end of unspecified humerus, subsequent encounter for fracture with routine healing
	未特定肱骨下端未特定骨折癒合之後續照護
    S42409G	Unspecified fracture of lower end of unspecified humerus, subsequent encounter for fracture with delayed healing
	未特定肱骨下端未特定骨折延遲癒合之後續照護
    S42409K	Unspecified fracture of lower end of unspecified humerus, subsequent encounter for fracture with nonunion
