H00	Hordeolum and chalazion
	瀰漫性續發性脈絡膜萎縮
   H31121	Diffuse secondary atrophy of choroid, right eye
	右眼瀰漫性續發性脈絡膜萎縮
   H31122	Diffuse secondary atrophy of choroid, left eye
	左眼瀰漫性續發性脈絡膜萎縮
   H31123	Diffuse secondary atrophy of choroid, bilateral
	雙側瀰漫性續發性脈絡膜萎縮
   H31129	Diffuse secondary atrophy of choroid, unspecified eye
	未特定側性瀰漫性續發性脈絡膜萎縮
 H312	Hereditary choroidal dystrophy
	遺傳性脈絡膜失養症
  H3120	Hereditary choroidal dystrophy, unspecified
	遺傳性脈絡膜失養症，未特定
  H3121	Choroideremia
	脈絡膜缺失症
  H3122	Choroidal dystrophy (central areolar) (generalized) (peripapillary)
	脈絡膜失養症(中心暈狀性)(廣泛性)(視乳頭周圍性)
  H3123	Gyrate atrophy, choroid
	脈絡膜環狀萎縮
  H3129	Other hereditary choroidal dystrophy
	其他遺傳性脈絡膜失養症
 H313	Choroidal hemorrhage and rupture
	脈絡膜出血及破裂
  H3130	Unspecified choroidal hemorrhage
	脈絡膜出血
   H31301	Unspecified choroidal hemorrhage, right eye
	右眼脈絡膜出血
   H31302	Unspecified choroidal hemorrhage, left eye
	左眼脈絡膜出血
   H31303	Unspecified choroidal hemorrhage, bilateral
	雙側脈絡膜出血
   H31309	Unspecified choroidal hemorrhage, unspecified eye
	未特定側性脈絡膜出血
  H3131	Expulsive choroidal hemorrhage
	排出性脈絡膜出血
   H31311	Expulsive choroidal hemorrhage, right eye
	右眼排出性脈絡膜出血
   H31312	Expulsive choroidal hemorrhage, left eye
	左眼排出性脈絡膜出血
   H31313	Expulsive choroidal hemorrhage, bilateral
	雙側排出性脈絡膜出血
   H31319	Expulsive choroidal hemorrhage, unspecified eye
	未特定側性排出性脈絡膜出血
  H3132	Choroidal rupture
	脈絡膜破裂
   H31321	Choroidal rupture, right eye
	右眼脈絡膜破裂
   H31322	Choroidal rupture, left eye
	左眼脈絡膜破裂
   H31323	Choroidal rupture, bilateral
	雙側脈絡膜破裂
   H31329	Choroidal rupture, unspecified eye
	未特定側性脈絡膜破裂
 H314	Choroidal detachment
	脈絡膜剝離
  H3140	Unspecified choroidal detachment
	脈絡膜剝離
   H31401	Unspecified choroidal detachment, right eye
	右眼脈絡膜剝離
   H31402	Unspecified choroidal detachment, left eye
	左眼脈絡膜剝離
   H31403	Unspecified choroidal detachment, bilateral
	雙側脈絡膜剝離
   H31409	Unspecified choroidal detachment, unspecified eye
	未特定側性脈絡膜剝離
  H3141	Hemorrhagic choroidal detachment
	出血性脈絡膜剝離
   H31411	Hemorrhagic choroidal detachment, right eye
	右眼出血性脈絡膜剝離
   H31412	Hemorrhagic choroidal detachment, left eye
	左眼出血性脈絡膜剝離
   H31413	Hemorrhagic choroidal detachment, bilateral
	雙側出血性脈絡膜剝離
   H31419	Hemorrhagic choroidal detachment, unspecified eye
	未特定側性出血性脈絡膜剝離
  H3142	Serous choroidal detachment
	漿液性脈絡膜剝離
   H31421	Serous choroidal detachment, right eye
	右眼漿液性脈絡膜剝離
   H31422	Serous choroidal detachment, left eye
	左眼漿液性脈絡膜剝離
   H31423	Serous choroidal detachment, bilateral
	雙側漿液性脈絡膜剝離
   H31429	Serous choroidal detachment, unspecified eye
	未特定側性漿液性脈絡膜剝離
 H318	Other specified disorders of choroid
	脈絡膜之其他特定疾患
 H319	Unspecified disorder of choroid
	脈絡膜疾患
H32	Chorioretinal disorders in diseases classified elsewhere
	歸類於他處疾病所致之脈絡膜視網膜疾患
H33	Retinal detachments and breaks
	視網膜退化及裂孔
 H330	Retinal detachment with retinal break
	視網膜剝離伴有視網膜裂孔
  H3300	Unspecified retinal detachment with retinal break
	視網膜剝離伴有視網膜裂孔
   H33001	Unspecified retinal detachment with retinal break, right eye
	右眼視網膜剝離併視網膜裂孔
   H33002	Unspecified retinal detachment with retinal break, left eye
	左眼視網膜剝離併視網膜裂孔
   H33003	Unspecified retinal detachment with retinal break, bilateral
	雙側視網膜剝離併視網膜裂孔
   H33009	Unspecified retinal detachment with retinal break, unspecified eye
	未特定側性視網膜剝離併視網膜裂孔
  H3301	Retinal detachment with single break
	視網膜剝離伴有單一裂孔
   H33011	Retinal detachment with single break, right eye
	右眼視網膜剝離伴有單一裂孔
   H33012	Retinal detachment with single break, left eye
	左眼視網膜剝離伴有單一裂孔
   H33013	Retinal detachment with single break, bilateral
	雙側視網膜剝離伴有單一裂孔
   H33019	Retinal detachment with single break, unspecified eye
	未特定側性視網膜剝離伴有單一裂孔
  H3302	Retinal detachment with multiple breaks
	視網膜剝離伴有多數裂孔
   H33021	Retinal detachment with multiple breaks, right eye
	右眼視網膜剝離伴有多數裂孔
   H33022	Retinal detachment with multiple breaks, left eye
	左眼視網膜剝離伴有多數裂孔
   H33023	Retinal detachment with multiple breaks, bilateral
	雙側視網膜剝離伴有多數裂孔
   H33029	Retinal detachment with multiple breaks, unspecified eye
	未特定側性視網膜剝離伴有多數裂孔
  H3303	Retinal detachment with giant retinal tear
	雙側視網膜剝離伴有巨大視網膜裂孔
   H33031	Retinal detachment with giant retinal tear, right eye
	右眼視網膜剝離伴有巨大視網膜裂孔
   H33032	Retinal detachment with giant retinal tear, left eye
	左眼視網膜剝離伴有巨大視網膜裂孔
   H33033	Retinal detachment with giant retinal tear, bilateral
	雙側視網膜剝離伴有巨大視網膜裂孔
   H33039	Retinal detachment with giant retinal tear, unspecified eye
	未特定側性視網膜剝離伴有巨大視網膜裂孔
  H3304	Retinal detachment with retinal dialysis
	視網膜剝離伴有視網膜鋸齒緣分離
   H33041	Retinal detachment with retinal dialysis, right eye
	右眼視網膜剝離伴有視網膜鋸齒緣分離
   H33042	Retinal detachment with retinal dialysis, left eye
	左眼視網膜剝離伴有視網膜鋸齒緣分離
   H33043	Retinal detachment with retinal dialysis, bilateral
	雙側視網膜剝離伴有視網膜鋸齒緣分離
   H33049	Retinal detachment with retinal dialysis, unspecified eye
	未特定側性視網膜剝離伴有視網膜鋸齒緣分離
  H3305	Total retinal detachment
	全部視網膜剝離
   H33051	Total retinal detachment, right eye
	右眼全部視網膜剝離
   H33052	Total retinal detachment, left eye
	左眼全部視網膜剝離
   H33053	Total retinal detachment, bilateral
	雙側全部視網膜剝離
   H33059	Total retinal detachment, unspecified eye
	未特定側性全部視網膜剝離
 H331	Retinoschisis and retinal cysts
	視網膜層分裂及視網膜囊腫
  H3310	Unspecified retinoschisis
	視網膜層分裂
   H33101	Unspecified retinoschisis, right eye
	右眼視網膜層分裂
   H33102	Unspecified retinoschisis, left eye
	左眼視網膜層分裂
   H33103	Unspecified retinoschisis, bilateral
	雙側視網膜層分裂
   H33109	Unspecified retinoschisis, unspecified eye
	未特定側性視網膜層分裂
  H3311	Cyst of ora serrata
	視網膜鋸齒緣囊腫
   H33111	Cyst of ora serrata, right eye
	右眼視網膜鋸齒緣囊腫
   H33112	Cyst of ora serrata, left eye
	左眼視網膜鋸齒緣囊腫
   H33113	Cyst of ora serrata, bilateral
	雙側視網膜鋸齒緣囊腫
   H33119	Cyst of ora serrata, unspecified eye
	未特定側性視網膜鋸齒緣囊腫
  H3312	Parasitic cyst of retina
	視網膜寄生性囊腫
   H33121	Parasitic cyst of retina, right eye
	右眼視網膜寄生性囊腫
   H33122	Parasitic cyst of retina, left eye
	左眼視網膜寄生性囊腫
   H33123	Parasitic cyst of retina, bilateral
	雙側視網膜寄生性囊腫
   H33129	Parasitic cyst of retina, unspecified eye
	未特定側性視網膜寄生性囊腫
  H3319	Other retinoschisis and retinal cysts
	其他視網膜層分裂及視網膜囊腫
   H33191	Other retinoschisis and retinal cysts, right eye
	右眼其他視網膜層分裂及視網膜囊腫
   H33192	Other retinoschisis and retinal cysts, left eye
	左眼其他視網膜層分裂及視網膜囊腫
   H33193	Other retinoschisis and retinal cysts, bilateral
	雙側其他視網膜層分裂及視網膜囊腫
   H33199	Other retinoschisis and retinal cysts, unspecified eye
	未特定側性其他視網膜層分裂及視網膜囊腫
 H332	Serous retinal detachment
	漿液性視網膜剝離
  H3320	Serous retinal detachment, unspecified eye
	未特定側性漿液性視網膜剝離
  H3321	Serous retinal detachment, right eye
	右眼漿液性視網膜剝離
  H3322	Serous retinal detachment, left eye
	左眼漿液性視網膜剝離
  H3323	Serous retinal detachment, bilateral
	雙側漿液性視網膜剝離
 H333	Retinal breaks without detachment
	視網膜裂孔未伴有剝離
  H3330	Unspecified retinal break
	視網膜裂孔
   H33301	Unspecified retinal break, right eye
	右眼視網膜裂孔
   H33302	Unspecified retinal break, left eye
	左眼視網膜裂孔
   H33303	Unspecified retinal break, bilateral
	雙側視網膜裂孔
   H33309	Unspecified retinal break, unspecified eye
	未特定側性視網膜裂隙
  H3331	Horseshoe tear of retina without detachment
	網膜馬蹄型撕裂未伴有剝離
   H33311	Horseshoe tear of retina without detachment, right eye
	右眼網膜馬蹄型撕裂，未伴有剝離
   H33312	Horseshoe tear of retina without detachment, left eye
	左眼網膜馬蹄型裂孔，未伴有剝離
   H33313	Horseshoe tear of retina without detachment, bilateral
	雙側網膜馬蹄型裂孔，未伴有剝離
   H33319	Horseshoe tear of retina without detachment, unspecified eye
	未特定側性網膜馬蹄型裂孔，未伴有剝離
  H3332	Round hole of retina without detachment
	網膜圓型裂孔未伴有剝離
   H33321	Round hole, right eye
	右眼網膜圓型裂孔
   H33322	Round hole, left eye
	左眼網膜圓型裂孔
   H33323	Round hole, bilateral
	雙側網膜圓型裂孔
   H33329	Round hole, unspecified eye
	未特定側性網膜圓型裂孔
  H3333	Multiple defects of retina without detachment
	網膜多處缺損未伴有剝離
   H33331	Multiple defects of retina without detachment, right eye
	右眼網膜多處缺損未伴有剝離
   H33332	Multiple defects of retina without detachment, left eye
	左眼網膜多處缺損未伴有剝離
   H33333	Multiple defects of retina without detachment, bilateral
	雙側網膜多處缺損未伴有剝離
   H33339	Multiple defects of retina without detachment, unspecified eye
	未特定側性網膜多處缺損未伴有剝離
 H334	Traction detachment of retina
	牽引性視網膜剝離
  H3340	Traction detachment of retina, unspecified eye
	未特定側性牽引性視網膜剝離
  H3341	Traction detachment of retina, right eye
	右眼牽引性視網膜剝離
  H3342	Traction detachment of retina, left eye
	左眼牽引性視網膜剝離
  H3343	Traction detachment of retina, bilateral
	雙側牽引性視網膜剝離
 H338	Other retinal detachments
	其他視網膜剝離
H34	Retinal vascular occlusions
	視網膜血管阻塞
 H340	Transient retinal artery occlusion
	短暫性視網膜動脈阻塞
  H3400	Transient retinal artery occlusion, unspecified eye
	未特定側性短暫性視網膜動脈阻塞
  H3401	Transient retinal artery occlusion, right eye
	右眼短暫性視網膜動脈阻塞
  H3402	Transient retinal artery occlusion, left eye
	左眼短暫性視網膜動脈阻塞
  H3403	Transient retinal artery occlusion, bilateral
	雙側短暫性視網膜動脈阻塞
 H341	Central retinal artery occlusion
	中心視網膜動脈阻塞
  H3410	Central retinal artery occlusion, unspecified eye
	未特定側性中心視網膜動脈阻塞
  H3411	Central retinal artery occlusion, right eye
	右眼中心視網膜動脈阻塞
  H3412	Central retinal artery occlusion, left eye
	左眼中心視網膜動脈阻塞
  H3413	Central retinal artery occlusion, bilateral
	雙側中心視網膜動脈阻塞
 H342	Other retinal artery occlusions
	其他視網膜動脈枝阻塞
  H3421	Partial retinal artery occlusion
	部份視網膜動脈阻塞
   H34211	Partial retinal artery occlusion, right eye
	右眼部份視網膜動脈阻塞
   H34212	Partial retinal artery occlusion, left eye
	左眼部份視網膜動脈阻塞
   H34213	Partial retinal artery occlusion, bilateral
	雙側部份視網膜動脈阻塞
   H34219	Partial retinal artery occlusion, unspecified eye
	未特定側性部份視網膜動脈阻塞
  H3423	Retinal artery branch occlusion
	視網膜動脈枝阻塞
   H34231	Retinal artery branch occlusion, right eye
	右眼視網膜動脈枝阻塞
   H34232	Retinal artery branch occlusion, left eye
	左眼視網膜動脈枝阻塞
   H34233	Retinal artery branch occlusion, bilateral
	雙側視網膜動脈枝阻塞
   H34239	Retinal artery branch occlusion, unspecified eye
	未特定側性視網膜動脈枝阻塞
 H348	Other retinal vascular occlusion
	其他視網膜血管阻塞
  H3481	Central retinal vein occlusion
	中心視網膜靜脈阻塞
   H34811	Central retinal vein occlusion, right eye
	右眼中心視網膜靜脈阻塞
   H34812	Central retinal vein occlusion, left eye
	左眼中心視網膜靜脈阻塞
   H34813	Central retinal vein occlusion, bilateral
	雙側中心視網膜靜脈阻塞
   H34819	Central retinal vein occlusion, unspecified eye
	未特定側性中心視網膜靜脈阻塞
  H3482	Venous engorgement
	視網膜靜脈鼓張
   H34821	Venous engorgement, right eye
	右眼視網膜靜脈鼓張
   H34822	Venous engorgement, left eye
	左眼視網膜靜脈鼓張
   H34823	Venous engorgement, bilateral
	雙側視網膜靜脈鼓張
   H34829	Venous engorgement, unspecified eye
	未特定側性視網膜靜脈鼓張
  H3483	Tributary (branch) retinal vein occlusion
	視網膜靜脈支流（分枝）阻塞
   H34831	Tributary (branch) retinal vein occlusion, right eye
	右眼視網膜靜脈支流（分枝）阻塞
