M00	Pyogenic arthritis
   M65129	Other infective (teno)synovitis, unspecified elbow
	未特定肘側感染性(肌腱)滑膜炎
  M6513	Other infective (teno)synovitis, wrist
	腕部其他感染性(肌腱)滑膜炎
   M65131	Other infective (teno)synovitis, right wrist
	右腕感染性(肌腱)滑膜炎
   M65132	Other infective (teno)synovitis, left wrist
	左腕感染性(肌腱)滑膜炎
   M65139	Other infective (teno)synovitis, unspecified wrist
	未特定腕側感染性(肌腱)滑膜炎
  M6514	Other infective (teno)synovitis, hand
	手部其他感染性(肌腱)滑膜炎
   M65141	Other infective (teno)synovitis, right hand
	右手感染性(肌腱)滑膜炎
   M65142	Other infective (teno)synovitis, left hand
	左手感染性(肌腱)滑膜炎
   M65149	Other infective (teno)synovitis, unspecified hand
	未特定側手感染性(肌腱)滑膜炎
  M6515	Other infective (teno)synovitis, hip
	髖部其他感染性(肌腱)滑膜炎
   M65151	Other infective (teno)synovitis, right hip
	右髖部感染性(肌腱)滑膜炎
   M65152	Other infective (teno)synovitis, left hip
	左髖部感染性(肌腱)滑膜炎
   M65159	Other infective (teno)synovitis, unspecified hip
	未特定髖部側感染性(肌腱)滑膜炎
  M6516	Other infective (teno)synovitis, knee
	膝部其他感染性(肌腱)滑膜炎
   M65161	Other infective (teno)synovitis, right knee
	右膝部感染性(肌腱)滑膜炎
   M65162	Other infective (teno)synovitis, left knee
	左膝部感染性(肌腱)滑膜炎
   M65169	Other infective (teno)synovitis, unspecified knee
	未特定膝部側感染性(肌腱)滑膜炎
  M6517	Other infective (teno)synovitis, ankle and foot
	踝及足部其他感染性(肌腱)滑膜炎
   M65171	Other infective (teno)synovitis, right ankle and foot
	右足及踝感染性(肌腱)滑膜炎
   M65172	Other infective (teno)synovitis, left ankle and foot
	左足及踝感染性(肌腱)滑膜炎
   M65179	Other infective (teno)synovitis, unspecified ankle and foot
	未特定足及踝側感染性(肌腱)滑膜炎
  M6518	Other infective (teno)synovitis, other site
	其他特定部位感染性(肌腱)滑膜炎
  M6519	Other infective (teno)synovitis, multiple sites
	多處部位感染性(肌腱)滑膜炎
 M652	Calcific tendinitis
	鈣化性肌腱炎
  M6520	Calcific tendinitis, unspecified site
	未特定部位之鈣化性肌腱炎
  M6522	Calcific tendinitis, upper arm
	上臂鈣化性肌腱炎
   M65221	Calcific tendinitis, right upper arm
	右上臂鈣化性肌腱炎
   M65222	Calcific tendinitis, left upper arm
	左上臂鈣化性肌腱炎
   M65229	Calcific tendinitis, unspecified upper arm
	未特定上臂側鈣化性肌腱炎
  M6523	Calcific tendinitis, foream
	前臂鈣化性肌腱炎
   M65231	Calcific tendinitis, right forearm
	右前臂鈣化性肌腱炎
   M65232	Calcific tendinitis, left forearm
	左前臂鈣化性肌腱炎
   M65239	Calcific tendinitis, unspecified forearm
	未特定前臂側鈣化性肌腱炎
  M6524	Calcific tendinitis, hand
	手部鈣化性肌腱炎
   M65241	Calcific tendinitis, right hand
	右手鈣化性肌腱炎
   M65242	Calcific tendinitis, left hand
	左手鈣化性肌腱炎
   M65249	Calcific tendinitis, unspecified hand
	未特定側手鈣化性肌腱炎
  M6525	Calcific tendinitis, thigh
	大腿鈣化性肌腱炎
   M65251	Calcific tendinitis, right thigh
	右大腿鈣化性肌腱炎
   M65252	Calcific tendinitis, left thigh
	左大腿鈣化性肌腱炎
   M65259	Calcific tendinitis, unspecified thigh
	未特定大腿側鈣化性肌腱炎
  M6526	Calcific tendinitis, lower leg
	小腿鈣化性肌腱炎
   M65261	Calcific tendinitis, right lower leg
	右小腿鈣化性肌腱炎
   M65262	Calcific tendinitis, left lower leg
	左小腿鈣化性肌腱炎
   M65269	Calcific tendinitis, unspecified lower leg
	未特定小腿側鈣化性肌腱炎
  M6527	Calcific tendinitis, ankle and foot
	踝及足部鈣化性肌腱炎
   M65271	Calcific tendinitis, right ankle and foot
	右踝及足鈣化性肌腱炎
   M65272	Calcific tendinitis, left ankle and foot
	左踝及足鈣化性肌腱炎
   M65279	Calcific tendinitis, unspecified ankle and foot
	未特定踝及足側鈣化性肌腱炎
  M6528	Calcific tendinitis, other site
	其他特定部位鈣化性肌腱炎
  M6529	Calcific tendinitis, multiple sites
	多處部位鈣化性肌腱炎
 M653	Trigger finger
	扳機指
  M6530	Trigger finger, unspecified finger
	扳機指
  M6531	Trigger thumb
	拇指扳機指
   M65311	Trigger thumb, right thumb
	右手拇指扳機指
   M65312	Trigger thumb, left thumb
	左手拇指扳機指
   M65319	Trigger thumb, unspecified thumb
	未特定側手拇指扳機指
  M6532	Trigger finger, index finger
	食指扳機指
   M65321	Trigger finger, right index finger
	右手食指扳機指
   M65322	Trigger finger, left index finger
	左手食指扳機指
   M65329	Trigger finger, unspecified index finger
	未特定側手食指扳機指
  M6533	Trigger finger, middle finger
	中指扳機指
   M65331	Trigger finger, right middle finger
	右手中指扳機指
   M65332	Trigger finger, left middle finger
	左手指扳機指
   M65339	Trigger finger, unspecified middle finger
	未特定側手中指扳機指
  M6534	Trigger finger, ring finger
	無名指扳機指
   M65341	Trigger finger, right ring finger
	右手無名指扳機指
   M65342	Trigger finger, left ring finger
	左手無名指扳機指
   M65349	Trigger finger, unspecified ring finger
	未特定側手無名指扳機指
  M6535	Trigger finger, little finger
	小指扳機指
   M65351	Trigger finger, right little finger
	右手小指扳機指
   M65352	Trigger finger, left little finger
	左手小指扳機指
   M65359	Trigger finger, unspecified little finger
	未特定側手小指扳機指
 M654	Radial styloid tenosynovitis [de Quervain]
	橈骨莖狀突腱鞘炎[de Quervain (氏)]
 M658	Other synovitis and tenosynovitis
	其他滑膜炎及腱鞘炎
  M6580	Other synovitis and tenosynovitis, unspecified site
	未特定部位之其他滑膜炎及腱鞘炎
  M6581	Other synovitis and tenosynovitis, shoulder
	肩部 其他滑膜炎及腱鞘炎
   M65811	Other synovitis and tenosynovitis, right shoulder
	右肩其他滑膜炎及腱鞘炎
   M65812	Other synovitis and tenosynovitis, left shoulder
	左肩其他滑膜炎及腱鞘炎
   M65819	Other synovitis and tenosynovitis, unspecified shoulder
	未特定肩側之其他滑膜炎及腱鞘炎
  M6582	Other synovitis and tenosynovitis, upper arm
	上臂 其他滑膜炎及腱鞘炎
   M65821	Other synovitis and tenosynovitis, right upper arm
	右上臂其他滑膜炎及腱鞘炎
   M65822	Other synovitis and tenosynovitis, left upper arm
	左上臂其他滑膜炎及腱鞘炎
   M65829	Other synovitis and tenosynovitis, unspecified upper arm
	未特定上臂側之其他滑膜炎及腱鞘炎
  M6583	Other synovitis and tenosynovitis, forearm
	前臂 其他滑膜炎及腱鞘炎
   M65831	Other synovitis and tenosynovitis, right forearm
	右前臂其他滑膜炎及腱鞘炎
   M65832	Other synovitis and tenosynovitis, left forearm
	左前臂其他滑膜炎及腱鞘炎
   M65839	Other synovitis and tenosynovitis, unspecified forearm
	未特定前臂側之其他滑膜炎及腱鞘炎
  M6584	Other synovitis and tenosynovitis, hand
	手部 其他滑膜炎及腱鞘炎
   M65841	Other synovitis and tenosynovitis, right hand
	右手其他滑膜炎及腱鞘炎
   M65842	Other synovitis and tenosynovitis, left hand
	左手其他滑膜炎及腱鞘炎
   M65849	Other synovitis and tenosynovitis, unspecified hand
	未特定側手之其他滑膜炎及腱鞘炎
  M6585	Other synovitis and tenosynovitis, thigh
	大腿 其他滑膜炎及腱鞘炎
   M65851	Other synovitis and tenosynovitis, right thigh
	右大腿其他滑膜炎及腱鞘炎
   M65852	Other synovitis and tenosynovitis, left thigh
	左大腿其他滑膜炎及腱鞘炎
   M65859	Other synovitis and tenosynovitis, unspecified thigh
	未特定大腿側之其他滑膜炎及腱鞘炎
  M6586	Other synovitis and tenosynovitis, lower leg
	小腿 其他滑膜炎及腱鞘炎
   M65861	Other synovitis and tenosynovitis, right lower leg
	右小腿其他滑膜炎及腱鞘炎
   M65862	Other synovitis and tenosynovitis, left lower leg
	左小腿其他滑膜炎及腱鞘炎
   M65869	Other synovitis and tenosynovitis, unspecified lower leg
	未特定小腿側之其他滑膜炎及腱鞘炎
  M6587	Other synovitis and tenosynovitis, ankle and foot
	踝 及足部 其他滑膜炎及腱鞘炎
   M65871	Other synovitis and tenosynovitis, right ankle and foot
	右踝及足其他滑膜炎及腱鞘炎
   M65872	Other synovitis and tenosynovitis, left ankle and foot
	左踝及足其他滑膜炎及腱鞘炎
   M65879	Other synovitis and tenosynovitis, unspecified ankle and foot
	未特定踝及足側之其他滑膜炎及腱鞘炎
  M6588	Other synovitis and tenosynovitis, other site
	其他部位之其他滑膜炎及腱鞘炎
  M6589	Other synovitis and tenosynovitis, multiple sites
	多處部位之其他滑膜炎及腱鞘炎
 M659	Synovitis and tenosynovitis, unspecified
	其他滑膜炎及腱鞘炎，未特定
M66	Spontaneous rupture of synovium and tendon
	滑膜及肌腱自發性破裂
 M660	Rupture of popliteal cyst
	膕囊腫破裂
 M661	Rupture of synovium
	滑膜破裂
  M6610	Rupture of synovium, unspecified joint
	滑膜破裂
  M6611	Rupture of synovium, shoulder
	肩部滑膜破裂
   M66111	Rupture of synovium, right shoulder
	右肩滑膜破裂
   M66112	Rupture of synovium, left shoulder
	左肩滑膜破裂
   M66119	Rupture of synovium, unspecified shoulder
	未特定肩側滑膜破裂
  M6612	Rupture of synovium, elbow
	肘部滑膜破裂
   M66121	Rupture of synovium, right elbow
	右肘滑膜破裂
   M66122	Rupture of synovium, left elbow
	左肘滑膜破裂
   M66129	Rupture of synovium, unspecified elbow
	未特定肘側滑膜破裂
  M6613	Rupture of synovium, wrist
	腕部滑膜破裂
   M66131	Rupture of synovium, right wrist
	右腕滑膜破裂
   M66132	Rupture of synovium, left wrist
	左腕滑膜破裂
   M66139	Rupture of synovium, unspecified wrist
	未特定腕側滑膜破裂
  M6614	Rupture of synovium, hand and fingers
	手部及手指滑膜破裂
   M66141	Rupture of synovium, right hand
	右手滑膜破裂
   M66142	Rupture of synovium, left hand
	左手滑膜破裂
   M66143	Rupture of synovium, unspecified hand
	未特定側手滑膜破裂
   M66144	Rupture of synovium, right finger(s)
	右手指滑膜破裂
   M66145	Rupture of synovium, left finger(s)
	左手指滑膜破裂
   M66146	Rupture of synovium, unspecified finger(s)
	未特定手指側滑膜破裂
  M6615	Rupture of synovium, hip
	髖部滑膜破裂
   M66151	Rupture of synovium, right hip
	右髖部滑膜破裂
   M66152	Rupture of synovium, left hip
	左髖部滑膜破裂
   M66159	Rupture of synovium, unspecified hip
	未特定髖部側滑膜破裂
  M6617	Rupture of synovium, ankle, foot and toes
	踝部、足部及足趾，滑膜破裂
   M66171	Rupture of synovium, right ankle
	右踝部滑膜破裂
   M66172	Rupture of synovium, left ankle
	左踝部滑膜破裂
   M66173	Rupture of synovium, unspecified ankle
	未特定踝部側滑膜破裂
   M66174	Rupture of synovium, right foot
	右足滑膜破裂
   M66175	Rupture of synovium, left foot
	左足滑膜破裂
   M66176	Rupture of synovium, unspecified foot
	未特定足側滑膜破裂
   M66177	Rupture of synovium, right toe(s)
	右趾滑膜破裂
   M66178	Rupture of synovium, left toe(s)
	左趾滑膜破裂
   M66179	Rupture of synovium, unspecified toe(s)
	未特定趾側滑膜破裂
  M6618	Rupture of synovium, other site
	其他部位之滑膜破裂
 M662	Spontaneous rupture of extensor tendons
	伸肌肌腱自發性斷裂
  M6620	Spontaneous rupture of extensor tendons, unspecified site
	未特定部位之伸肌肌腱自發性斷裂
  M6621	Spontaneous rupture of extensor tendons, shoulder
	肩部伸肌肌腱自發性斷裂
   M66211	Spontaneous rupture of extensor tendons, right shoulder
	右肩伸肌肌腱自發性斷裂
   M66212	Spontaneous rupture of extensor tendons, left shoulder
	左肩伸肌肌腱自發性斷裂
   M66219	Spontaneous rupture of extensor tendons, unspecified shoulder
	未特定肩側伸肌肌腱自發性斷裂
  M6622	Spontaneous rupture of extensor tendons, upper arm
	上臂伸肌肌腱自發性斷裂
   M66221	Spontaneous rupture of extensor tendons, right upper arm
	右上臂伸肌肌腱自發性斷裂
   M66222	Spontaneous rupture of extensor tendons, left upper arm
	左上臂伸肌肌腱自發性斷裂
   M66229	Spontaneous rupture of extensor tendons, unspecified upper arm
	未特定上臂側伸肌肌腱自發性斷裂
  M6623	Spontaneous rupture of extensor tendons, forearm
	前臂伸肌肌腱自發性斷裂
   M66231	Spontaneous rupture of extensor tendons, right forearm
	右前臂伸肌肌腱自發性斷裂
   M66232	Spontaneous rupture of extensor tendons, left forearm
	左前臂伸肌肌腱自發性斷裂
   M66239	Spontaneous rupture of extensor tendons, unspecified forearm
	未特定前臂側伸肌肌腱自發性斷裂
  M6624	Spontaneous rupture of extensor tendons, hand
	手部伸肌肌腱自發性斷裂
   M66241	Spontaneous rupture of extensor tendons, right hand
	右手伸肌肌腱自發性斷裂
   M66242	Spontaneous rupture of extensor tendons, left hand
	左手伸肌肌腱自發性斷裂
   M66249	Spontaneous rupture of extensor tendons, unspecified hand
	未特定側手伸肌肌腱自發性斷裂
  M6625	Spontaneous rupture of extensor tendons, thigh
	大腿伸肌肌腱自發性斷裂
   M66251	Spontaneous rupture of extensor tendons, right thigh
	右大腿伸肌肌腱自發性斷裂
   M66252	Spontaneous rupture of extensor tendons, left thigh
	左大腿伸肌肌腱自發性斷裂
   M66259	Spontaneous rupture of extensor tendons, unspecified thigh
	未特定大腿側伸肌肌腱自發性斷裂
  M6626	Spontaneous rupture of extensor tendons, lower leg
	小腿伸肌肌腱自發性斷裂
   M66261	Spontaneous rupture of extensor tendons, right lower leg
	右小腿伸肌肌腱自發性斷裂
   M66262	Spontaneous rupture of extensor tendons, left lower leg
	左小腿伸肌肌腱自發性斷裂
   M66269	Spontaneous rupture of extensor tendons, unspecified lower leg
	未特定小腿側伸肌肌腱自發性斷裂
  M6627	Spontaneous rupture of extensor tendons, ankle and foot
